,Indicator,PUBLISH STATES,Year,WHO region,World Bank income group,Country,Sex,Display Value,Numeric,Low,High,Comments
2209,Life expectancy at age 60 (years),Published,2012,Europe,Upper-middle-income,Romania,Female,22,22.0,,,
2210,Life expectancy at age 60 (years),Published,2000,Europe,Upper-middle-income,Romania,Both sexes,19,19.0,,,
2211,Life expectancy at birth (years),Published,2000,Europe,Upper-middle-income,Russian Federation,Female,72,72.0,,,
2212,Life expectancy at birth (years),Published,2012,Europe,Upper-middle-income,Russian Federation,Female,75,75.0,,,
2213,Life expectancy at age 60 (years),Published,1990,Europe,Upper-middle-income,Russian Federation,Female,20,20.0,,,
2214,Life expectancy at age 60 (years),Published,2000,Europe,Upper-middle-income,Russian Federation,Female,19,19.0,,,
2215,Life expectancy at birth (years),Published,1990,Europe,Upper-middle-income,Serbia,Male,69,69.0,,,
2216,Life expectancy at birth (years),Published,2012,Europe,Upper-middle-income,Serbia,Male,72,72.0,,,
2217,Life expectancy at birth (years),Published,1990,Europe,Upper-middle-income,Serbia,Female,75,75.0,,,
2218,Life expectancy at age 60 (years),Published,1990,Europe,Upper-middle-income,Serbia,Male,17,17.0,,,
2219,Life expectancy at age 60 (years),Published,2012,Europe,Upper-middle-income,Serbia,Both sexes,19,19.0,,,
2220,Life expectancy at birth (years),Published,2012,Americas,Upper-middle-income,Suriname,Male,75,75.0,,,
2221,Life expectancy at birth (years),Published,2012,Americas,Upper-middle-income,Suriname,Both sexes,77,77.0,,,
2222,Life expectancy at birth (years),Published,2000,Africa,Upper-middle-income,Seychelles,Both sexes,72,72.0,,,
2223,Life expectancy at birth (years),Published,2012,Africa,Upper-middle-income,Seychelles,Both sexes,74,74.0,,,
2224,Life expectancy at age 60 (years),Published,2012,Africa,Upper-middle-income,Seychelles,Female,23,23.0,,,
2225,Life expectancy at age 60 (years),Published,2000,Africa,Upper-middle-income,Seychelles,Both sexes,19,19.0,,,
2226,Life expectancy at birth (years),Published,1990,Europe,Upper-middle-income,Turkey,Female,68,68.0,,,
2227,Life expectancy at birth (years),Published,2000,Europe,Upper-middle-income,Turkey,Female,74,74.0,,,
2228,Life expectancy at age 60 (years),Published,1990,Europe,Upper-middle-income,Turkey,Female,20,20.0,,,
2229,Life expectancy at birth (years),Published,2000,Western Pacific,Upper-middle-income,Tuvalu,Female,66,66.0,,,
2230,Life expectancy at birth (years),Published,1990,Americas,Upper-middle-income,Uruguay,Male,69,69.0,,,
2231,Life expectancy at birth (years),Published,2000,Americas,Upper-middle-income,Uruguay,Male,71,71.0,,,
2232,Life expectancy at birth (years),Published,2000,Americas,Upper-middle-income,Uruguay,Both sexes,75,75.0,,,
2233,Life expectancy at age 60 (years),Published,1990,Americas,Upper-middle-income,Uruguay,Male,17,17.0,,,
2234,Life expectancy at age 60 (years),Published,2012,Americas,Upper-middle-income,Uruguay,Male,19,19.0,,,
2235,Life expectancy at age 60 (years),Published,2000,Americas,Upper-middle-income,Uruguay,Both sexes,21,21.0,,,
2236,Life expectancy at age 60 (years),Published,2012,Americas,Upper-middle-income,Uruguay,Both sexes,22,22.0,,,
2237,Life expectancy at birth (years),Published,2000,Americas,Upper-middle-income,Saint Vincent and the Grenadines,Both sexes,70,70.0,,,
2238,Life expectancy at birth (years),Published,2012,Americas,Upper-middle-income,Saint Vincent and the Grenadines,Both sexes,74,74.0,,,
2239,Life expectancy at age 60 (years),Published,1990,Americas,Upper-middle-income,Saint Vincent and the Grenadines,Male,18,18.0,,,
2240,Life expectancy at age 60 (years),Published,2012,Americas,Upper-middle-income,Saint Vincent and the Grenadines,Female,22,22.0,,,
2241,Life expectancy at age 60 (years),Published,2012,Americas,Upper-middle-income,Saint Vincent and the Grenadines,Both sexes,21,21.0,,,
2242,Life expectancy at birth (years),Published,2000,Americas,Upper-middle-income,Venezuela (Bolivarian Republic of),Both sexes,74,74.0,,,
2243,Life expectancy at age 60 (years),Published,1990,Americas,Upper-middle-income,Venezuela (Bolivarian Republic of),Both sexes,19,19.0,,,
2244,Life expectancy at age 60 (years),Published,1990,Africa,Upper-middle-income,South Africa,Female,17,17.0,,,
2245,Healthy life expectancy (HALE) at birth (years),Published,2012,Eastern Mediterranean,Low-income,Afghanistan,Both sexes,49,49.0,,,
2246,Healthy life expectancy (HALE) at birth (years),Published,2000,Africa,Lower-middle-income,Angola,Male,38,38.0,,,
2247,Healthy life expectancy (HALE) at birth (years),Published,2000,Africa,Lower-middle-income,Angola,Female,40,40.0,,,
2248,Healthy life expectancy (HALE) at birth (years),Published,2012,Europe,High-income,Andorra,Both sexes,72,72.0,,,
2249,Healthy life expectancy (HALE) at birth (years),Published,2000,Americas,Upper-middle-income,Argentina,Male,62,62.0,,,
2250,Healthy life expectancy (HALE) at birth (years),Published,2000,Europe,Lower-middle-income,Armenia,Female,65,65.0,,,
2251,Healthy life expectancy (HALE) at birth (years),Published,2012,Europe,Lower-middle-income,Armenia,Female,66,66.0,,,
2252,Healthy life expectancy (HALE) at birth (years),Published,2012,Americas,High-income,Antigua and Barbuda,Female,66,66.0,,,
2253,Healthy life expectancy (HALE) at birth (years),Published,2012,Europe,Lower-middle-income,Azerbaijan,Female,65,65.0,,,
2254,Healthy life expectancy (HALE) at birth (years),Published,2012,Africa,Low-income,Burundi,Both sexes,48,48.0,,,
2255,Healthy life expectancy (HALE) at birth (years),Published,2000,Europe,High-income,Belgium,Male,66,66.0,,,
2256,Healthy life expectancy (HALE) at birth (years),Published,2000,Africa,Low-income,Benin,Female,47,47.0,,,
2257,Healthy life expectancy (HALE) at birth (years),Published,2012,Africa,Low-income,Burkina Faso,Both sexes,50,50.0,,,
2258,Healthy life expectancy (HALE) at birth (years),Published,2000,South-East Asia,Low-income,Bangladesh,Female,55,55.0,,,
2259,Healthy life expectancy (HALE) at birth (years),Published,2000,Europe,Upper-middle-income,Bulgaria,Male,61,61.0,,,
2260,Healthy life expectancy (HALE) at birth (years),Published,2012,Eastern Mediterranean,High-income,Bahrain,Male,66,66.0,,,
2261,Healthy life expectancy (HALE) at birth (years),Published,2000,Europe,Upper-middle-income,Bosnia and Herzegovina,Both sexes,66,66.0,,,
2262,Healthy life expectancy (HALE) at birth (years),Published,2012,Americas,Lower-middle-income,Belize,Female,66,66.0,,,
2263,Healthy life expectancy (HALE) at birth (years),Published,2012,Americas,Lower-middle-income,Belize,Both sexes,63,63.0,,,
2264,Healthy life expectancy (HALE) at birth (years),Published,2000,Americas,Upper-middle-income,Brazil,Male,59,59.0,,,
2265,Healthy life expectancy (HALE) at birth (years),Published,2000,Americas,Upper-middle-income,Brazil,Female,64,64.0,,,
2266,Healthy life expectancy (HALE) at birth (years),Published,2012,Americas,High-income,Barbados,Male,64,64.0,,,
2267,Healthy life expectancy (HALE) at birth (years),Published,2000,South-East Asia,Lower-middle-income,Bhutan,Female,52,52.0,,,
2268,Healthy life expectancy (HALE) at birth (years),Published,2012,Africa,Upper-middle-income,Botswana,Male,52,52.0,,,
2269,Healthy life expectancy (HALE) at birth (years),Published,2000,Americas,High-income,Canada,Male,69,69.0,,,
2270,Healthy life expectancy (HALE) at birth (years),Published,2000,Europe,High-income,Switzerland,Both sexes,71,71.0,,,
2271,Healthy life expectancy (HALE) at birth (years),Published,2012,Americas,Upper-middle-income,Chile,Male,68,68.0,,,
2272,Healthy life expectancy (HALE) at birth (years),Published,2012,Americas,Upper-middle-income,Chile,Both sexes,70,70.0,,,
2273,Healthy life expectancy (HALE) at birth (years),Published,2012,Western Pacific,Lower-middle-income,China,Female,69,69.0,,,
2274,Healthy life expectancy (HALE) at birth (years),Published,2000,Africa,Lower-middle-income,Côte d'Ivoire,Male,41,41.0,,,
2275,Healthy life expectancy (HALE) at birth (years),Published,2000,Africa,Lower-middle-income,Cameroon,Both sexes,44,44.0,,,
2276,Healthy life expectancy (HALE) at birth (years),Published,2012,Africa,Lower-middle-income,Cameroon,Male,48,48.0,,,
2277,Healthy life expectancy (HALE) at birth (years),Published,2000,Western Pacific,High-income,Cook Islands,Female,64,64.0,,,
2278,Healthy life expectancy (HALE) at birth (years),Published,2000,Americas,Upper-middle-income,Colombia,Both sexes,64,64.0,,,
2279,Healthy life expectancy (HALE) at birth (years),Published,2012,Americas,Upper-middle-income,Colombia,Both sexes,68,68.0,,,
2280,Healthy life expectancy (HALE) at birth (years),Published,2012,Africa,Low-income,Comoros,Female,54,54.0,,,
2281,Healthy life expectancy (HALE) at birth (years),Published,2012,Africa,Low-income,Comoros,Both sexes,53,53.0,,,
2282,Healthy life expectancy (HALE) at birth (years),Published,2000,Americas,Upper-middle-income,Costa Rica,Male,66,66.0,,,
2283,Healthy life expectancy (HALE) at birth (years),Published,2012,Americas,Upper-middle-income,Cuba,Female,69,69.0,,,
2284,Healthy life expectancy (HALE) at birth (years),Published,2012,Americas,Upper-middle-income,Cuba,Both sexes,67,67.0,,,
2285,Healthy life expectancy (HALE) at birth (years),Published,2000,Europe,High-income,Cyprus,Male,69,69.0,,,
2286,Healthy life expectancy (HALE) at birth (years),Published,2000,Europe,High-income,Czech Republic,Both sexes,66,66.0,,,
2287,Healthy life expectancy (HALE) at birth (years),Published,2012,Europe,High-income,Germany,Male,70,70.0,,,
2288,Healthy life expectancy (HALE) at birth (years),Published,2000,Americas,Upper-middle-income,Dominica,Male,63,63.0,,,
2289,Healthy life expectancy (HALE) at birth (years),Published,2000,Europe,High-income,Denmark,Male,66,66.0,,,
2290,Healthy life expectancy (HALE) at birth (years),Published,2012,Americas,Upper-middle-income,Dominican Republic,Female,67,67.0,,,
2291,Healthy life expectancy (HALE) at birth (years),Published,2000,Americas,Lower-middle-income,Ecuador,Male,61,61.0,,,
2292,Healthy life expectancy (HALE) at birth (years),Published,2012,Africa,Low-income,Eritrea,Both sexes,54,54.0,,,
2293,Healthy life expectancy (HALE) at birth (years),Published,2000,Africa,Low-income,Ethiopia,Both sexes,44,44.0,,,
2294,Healthy life expectancy (HALE) at birth (years),Published,2012,Africa,Low-income,Ethiopia,Male,54,54.0,,,
2295,Healthy life expectancy (HALE) at birth (years),Published,2000,Western Pacific,Upper-middle-income,Fiji,Both sexes,58,58.0,,,
2296,Healthy life expectancy (HALE) at birth (years),Published,2012,Europe,High-income,France,Male,69,69.0,,,
2297,Healthy life expectancy (HALE) at birth (years),Published,2000,Africa,Upper-middle-income,Gabon,Male,50,50.0,,,
2298,Healthy life expectancy (HALE) at birth (years),Published,2012,Europe,High-income,United Kingdom of Great Britain and Northern Ireland,Male,70,70.0,,,
2299,Healthy life expectancy (HALE) at birth (years),Published,2012,Europe,Lower-middle-income,Georgia,Female,68,68.0,,,
2300,Healthy life expectancy (HALE) at birth (years),Published,2012,Africa,Low-income,Ghana,Both sexes,54,54.0,,,
2301,Healthy life expectancy (HALE) at birth (years),Published,2000,Africa,Low-income,Guinea,Male,43,43.0,,,
2302,Healthy life expectancy (HALE) at birth (years),Published,2000,Africa,Low-income,Guinea,Both sexes,43,43.0,,,
2303,Healthy life expectancy (HALE) at birth (years),Published,2000,Africa,Low-income,Gambia,Female,49,49.0,,,
2304,Healthy life expectancy (HALE) at birth (years),Published,2012,Africa,Low-income,Gambia,Male,52,52.0,,,
2305,Healthy life expectancy (HALE) at birth (years),Published,2012,Africa,Low-income,Guinea-Bissau,Female,47,47.0,,,
2306,Healthy life expectancy (HALE) at birth (years),Published,2012,Africa,Low-income,Guinea-Bissau,Both sexes,47,47.0,,,
2307,Healthy life expectancy (HALE) at birth (years),Published,2000,Europe,High-income,Greece,Male,68,68.0,,,
2308,Healthy life expectancy (HALE) at birth (years),Published,2000,Europe,High-income,Greece,Both sexes,69,69.0,,,
2309,Healthy life expectancy (HALE) at birth (years),Published,2000,Americas,Upper-middle-income,Grenada,Both sexes,63,63.0,,,
2310,Healthy life expectancy (HALE) at birth (years),Published,2012,Americas,Lower-middle-income,Guatemala,Both sexes,62,62.0,,,
2311,Healthy life expectancy (HALE) at birth (years),Published,2000,Americas,Lower-middle-income,Guyana,Male,54,54.0,,,
2312,Healthy life expectancy (HALE) at birth (years),Published,2000,Americas,Lower-middle-income,Honduras,Female,62,62.0,,,
2313,Healthy life expectancy (HALE) at birth (years),Published,2012,Europe,High-income,Croatia,Male,65,65.0,,,
2314,Healthy life expectancy (HALE) at birth (years),Published,2012,Europe,High-income,Croatia,Female,70,70.0,,,
2315,Healthy life expectancy (HALE) at birth (years),Published,2012,South-East Asia,Lower-middle-income,Indonesia,Male,61,61.0,,,
2316,Healthy life expectancy (HALE) at birth (years),Published,2000,Eastern Mediterranean,Lower-middle-income,Iran (Islamic Republic of),Male,60,60.0,,,
2317,Healthy life expectancy (HALE) at birth (years),Published,2000,Eastern Mediterranean,Lower-middle-income,Iran (Islamic Republic of),Both sexes,60,60.0,,,
2318,Healthy life expectancy (HALE) at birth (years),Published,2012,Eastern Mediterranean,Lower-middle-income,Iran (Islamic Republic of),Male,63,63.0,,,
2319,Healthy life expectancy (HALE) at birth (years),Published,2012,Eastern Mediterranean,Lower-middle-income,Iran (Islamic Republic of),Female,65,65.0,,,
2320,Healthy life expectancy (HALE) at birth (years),Published,2012,Europe,High-income,Iceland,Both sexes,72,72.0,,,
2321,Healthy life expectancy (HALE) at birth (years),Published,2000,Europe,High-income,Italy,Female,72,72.0,,,
2322,Healthy life expectancy (HALE) at birth (years),Published,2012,Europe,High-income,Italy,Female,74,74.0,,,
2323,Healthy life expectancy (HALE) at birth (years),Published,2012,Americas,Upper-middle-income,Jamaica,Female,66,66.0,,,
2324,Healthy life expectancy (HALE) at birth (years),Published,2000,Eastern Mediterranean,Lower-middle-income,Jordan,Male,62,62.0,,,
2325,Healthy life expectancy (HALE) at birth (years),Published,2000,Western Pacific,High-income,Japan,Male,71,71.0,,,
2326,Healthy life expectancy (HALE) at birth (years),Published,2000,Europe,Low-income,Kyrgyzstan,Female,60,60.0,,,
2327,Healthy life expectancy (HALE) at birth (years),Published,2000,Europe,Low-income,Kyrgyzstan,Both sexes,58,58.0,,,
2328,Healthy life expectancy (HALE) at birth (years),Published,2000,Americas,Upper-middle-income,Saint Kitts and Nevis,Female,64,64.0,,,
2329,Healthy life expectancy (HALE) at birth (years),Published,2000,Western Pacific,High-income,Republic of Korea,Male,66,66.0,,,
2330,Healthy life expectancy (HALE) at birth (years),Published,2000,Western Pacific,High-income,Republic of Korea,Female,71,71.0,,,
2331,Healthy life expectancy (HALE) at birth (years),Published,2000,Eastern Mediterranean,High-income,Kuwait,Both sexes,65,65.0,,,
2332,Healthy life expectancy (HALE) at birth (years),Published,2012,Eastern Mediterranean,High-income,Kuwait,Male,68,68.0,,,
2333,Healthy life expectancy (HALE) at birth (years),Published,2012,Eastern Mediterranean,High-income,Kuwait,Female,67,67.0,,,
2334,Healthy life expectancy (HALE) at birth (years),Published,2012,Eastern Mediterranean,High-income,Kuwait,Both sexes,68,68.0,,,
2335,Healthy life expectancy (HALE) at birth (years),Published,2000,Eastern Mediterranean,Upper-middle-income,Lebanon,Both sexes,65,65.0,,,
2336,Healthy life expectancy (HALE) at birth (years),Published,2012,Africa,Low-income,Liberia,Male,52,52.0,,,
2337,Healthy life expectancy (HALE) at birth (years),Published,2012,Africa,Low-income,Liberia,Female,53,53.0,,,
2338,Healthy life expectancy (HALE) at birth (years),Published,2012,Eastern Mediterranean,Upper-middle-income,Libya,Male,64,64.0,,,
2339,Healthy life expectancy (HALE) at birth (years),Published,2012,South-East Asia,Lower-middle-income,Sri Lanka,Male,63,63.0,,,
2340,Healthy life expectancy (HALE) at birth (years),Published,2012,Eastern Mediterranean,Lower-middle-income,Morocco,Female,61,61.0,,,
2341,Healthy life expectancy (HALE) at birth (years),Published,2012,Eastern Mediterranean,Lower-middle-income,Morocco,Both sexes,61,61.0,,,
2342,Healthy life expectancy (HALE) at birth (years),Published,2000,Europe,Lower-middle-income,Republic of Moldova,Both sexes,60,60.0,,,
2343,Healthy life expectancy (HALE) at birth (years),Published,2012,Africa,Low-income,Madagascar,Male,54,54.0,,,
2344,Healthy life expectancy (HALE) at birth (years),Published,2012,South-East Asia,Lower-middle-income,Maldives,Female,67,67.0,,,
2345,Healthy life expectancy (HALE) at birth (years),Published,2000,Americas,Upper-middle-income,Mexico,Female,68,68.0,,,
2346,Healthy life expectancy (HALE) at birth (years),Published,2012,Europe,Upper-middle-income,The former Yugoslav republic of Macedonia,Male,65,65.0,,,
2347,Healthy life expectancy (HALE) at birth (years),Published,2000,Europe,High-income,Malta,Female,70,70.0,,,
2348,Healthy life expectancy (HALE) at birth (years),Published,2012,South-East Asia,Low-income,Myanmar,Male,56,56.0,,,
2349,Healthy life expectancy (HALE) at birth (years),Published,2012,South-East Asia,Low-income,Myanmar,Both sexes,57,57.0,,,
2350,Healthy life expectancy (HALE) at birth (years),Published,2000,Africa,Low-income,Mozambique,Male,40,40.0,,,
2351,Healthy life expectancy (HALE) at birth (years),Published,2000,Africa,Low-income,Mozambique,Female,41,41.0,,,
2352,Healthy life expectancy (HALE) at birth (years),Published,2012,Africa,Low-income,Mozambique,Male,45,45.0,,,
2353,Healthy life expectancy (HALE) at birth (years),Published,2012,Africa,Low-income,Mauritania,Male,52,52.0,,,
2354,Healthy life expectancy (HALE) at birth (years),Published,2000,Africa,Upper-middle-income,Mauritius,Male,60,60.0,,,
2355,Healthy life expectancy (HALE) at birth (years),Published,2012,Africa,Upper-middle-income,Mauritius,Both sexes,65,65.0,,,
2356,Healthy life expectancy (HALE) at birth (years),Published,2000,Africa,Low-income,Malawi,Female,38,38.0,,,
2357,Healthy life expectancy (HALE) at birth (years),Published,2000,Western Pacific,Upper-middle-income,Malaysia,Both sexes,62,62.0,,,
2358,Healthy life expectancy (HALE) at birth (years),Published,2012,Western Pacific,Upper-middle-income,Malaysia,Male,63,63.0,,,
2359,Healthy life expectancy (HALE) at birth (years),Published,2000,Africa,Low-income,Niger,Male,43,43.0,,,
2360,Healthy life expectancy (HALE) at birth (years),Published,2000,Africa,Lower-middle-income,Nigeria,Male,41,41.0,,,
2361,Healthy life expectancy (HALE) at birth (years),Published,2012,Americas,Lower-middle-income,Nicaragua,Both sexes,64,64.0,,,
2362,Healthy life expectancy (HALE) at birth (years),Published,2000,Europe,High-income,Netherlands,Both sexes,69,69.0,,,
2363,Healthy life expectancy (HALE) at birth (years),Published,2012,South-East Asia,Low-income,Nepal,Both sexes,59,59.0,,,
2364,Healthy life expectancy (HALE) at birth (years),Published,2000,Western Pacific,High-income,Nauru,Female,68,68.0,,,
2365,Healthy life expectancy (HALE) at birth (years),Published,2000,Western Pacific,High-income,New Zealand,Male,67,67.0,,,
2366,Healthy life expectancy (HALE) at birth (years),Published,2000,Western Pacific,High-income,New Zealand,Both sexes,69,69.0,,,
2367,Healthy life expectancy (HALE) at birth (years),Published,2012,Western Pacific,High-income,New Zealand,Male,71,71.0,,,
2368,Healthy life expectancy (HALE) at birth (years),Published,2012,Eastern Mediterranean,High-income,Oman,Both sexes,66,66.0,,,
2369,Healthy life expectancy (HALE) at birth (years),Published,2000,Americas,Upper-middle-income,Peru,Female,64,64.0,,,
2370,Healthy life expectancy (HALE) at birth (years),Published,2012,Americas,Upper-middle-income,Peru,Male,66,66.0,,,
2371,Healthy life expectancy (HALE) at birth (years),Published,2012,Western Pacific,Lower-middle-income,Philippines,Male,57,57.0,,,
2372,Healthy life expectancy (HALE) at birth (years),Published,2012,Western Pacific,Lower-middle-income,Philippines,Female,63,63.0,,,
2373,Healthy life expectancy (HALE) at birth (years),Published,2000,Western Pacific,Upper-middle-income,Palau,Male,59,59.0,,,
2374,Healthy life expectancy (HALE) at birth (years),Published,2000,Western Pacific,Lower-middle-income,Papua New Guinea,Female,52,52.0,,,
2375,Healthy life expectancy (HALE) at birth (years),Published,2012,Western Pacific,Lower-middle-income,Papua New Guinea,Male,52,52.0,,,
2376,Healthy life expectancy (HALE) at birth (years),Published,2012,Europe,Upper-middle-income,Poland,Male,64,64.0,,,
2377,Healthy life expectancy (HALE) at birth (years),Published,2012,Europe,Upper-middle-income,Poland,Both sexes,67,67.0,,,
2378,Healthy life expectancy (HALE) at birth (years),Published,2000,Europe,High-income,Portugal,Male,65,65.0,,,
2379,Healthy life expectancy (HALE) at birth (years),Published,2000,Europe,High-income,Portugal,Female,70,70.0,,,
2380,Healthy life expectancy (HALE) at birth (years),Published,2000,Europe,Upper-middle-income,Russian Federation,Male,53,53.0,,,
2381,Healthy life expectancy (HALE) at birth (years),Published,2012,Africa,Low-income,Rwanda,Male,55,55.0,,,
2382,Healthy life expectancy (HALE) at birth (years),Published,2000,Africa,Low-income,Senegal,Female,49,49.0,,,
2383,Healthy life expectancy (HALE) at birth (years),Published,2000,Africa,Low-income,Senegal,Both sexes,49,49.0,,,
2384,Healthy life expectancy (HALE) at birth (years),Published,2012,Africa,Low-income,Senegal,Male,54,54.0,,,
2385,Healthy life expectancy (HALE) at birth (years),Published,2012,Western Pacific,High-income,Singapore,Male,74,74.0,,,
2386,Healthy life expectancy (HALE) at birth (years),Published,2012,Western Pacific,High-income,Singapore,Female,77,77.0,,,
2387,Healthy life expectancy (HALE) at birth (years),Published,2012,Western Pacific,Lower-middle-income,Solomon Islands,Both sexes,59,59.0,,,
2388,Healthy life expectancy (HALE) at birth (years),Published,2000,Africa,Low-income,Sierra Leone,Male,33,33.0,,,
2389,Healthy life expectancy (HALE) at birth (years),Published,2012,Americas,Lower-middle-income,El Salvador,Female,66,66.0,,,
2390,Healthy life expectancy (HALE) at birth (years),Published,2012,Europe,High-income,San Marino,Female,73,73.0,,,
2391,Healthy life expectancy (HALE) at birth (years),Published,2000,Europe,Upper-middle-income,Serbia,Male,61,61.0,,,
2392,Healthy life expectancy (HALE) at birth (years),Published,2000,Europe,Upper-middle-income,Serbia,Both sexes,63,63.0,,,
2393,Healthy life expectancy (HALE) at birth (years),Published,2012,Eastern Mediterranean,Low-income,South Sudan,Male,47,47.0,,,
2394,Healthy life expectancy (HALE) at birth (years),Published,2000,Americas,Upper-middle-income,Suriname,Male,62,62.0,,,
2395,Healthy life expectancy (HALE) at birth (years),Published,2000,Americas,Upper-middle-income,Suriname,Both sexes,63,63.0,,,
2396,Healthy life expectancy (HALE) at birth (years),Published,2012,Europe,High-income,Slovakia,Both sexes,67,67.0,,,
2397,Healthy life expectancy (HALE) at birth (years),Published,2000,Europe,High-income,Sweden,Female,72,72.0,,,
2398,Healthy life expectancy (HALE) at birth (years),Published,2000,Africa,Lower-middle-income,Swaziland,Female,42,42.0,,,
2399,Healthy life expectancy (HALE) at birth (years),Published,2000,Africa,Upper-middle-income,Seychelles,Both sexes,65,65.0,,,
2400,Healthy life expectancy (HALE) at birth (years),Published,2000,Eastern Mediterranean,Lower-middle-income,Syrian Arab Republic,Male,62,62.0,,,
2401,Healthy life expectancy (HALE) at birth (years),Published,2012,Eastern Mediterranean,Lower-middle-income,Syrian Arab Republic,Both sexes,59,59.0,,,
2402,Healthy life expectancy (HALE) at birth (years),Published,2000,Africa,Low-income,Chad,Male,39,39.0,,,
2403,Healthy life expectancy (HALE) at birth (years),Published,2000,Africa,Low-income,Chad,Both sexes,40,40.0,,,
2404,Healthy life expectancy (HALE) at birth (years),Published,2012,Africa,Low-income,Togo,Female,50,50.0,,,
2405,Healthy life expectancy (HALE) at birth (years),Published,2000,Europe,Low-income,Tajikistan,Male,55,55.0,,,
2406,Healthy life expectancy (HALE) at birth (years),Published,2000,Europe,Low-income,Tajikistan,Female,57,57.0,,,
2407,Healthy life expectancy (HALE) at birth (years),Published,2000,Europe,Lower-middle-income,Turkmenistan,Male,52,52.0,,,
2408,Healthy life expectancy (HALE) at birth (years),Published,2012,Western Pacific,Lower-middle-income,Tonga,Both sexes,62,62.0,,,
2409,Healthy life expectancy (HALE) at birth (years),Published,2012,Eastern Mediterranean,Lower-middle-income,Tunisia,Male,65,65.0,,,
2410,Healthy life expectancy (HALE) at birth (years),Published,2012,Africa,Low-income,Uganda,Male,49,49.0,,,
2411,Healthy life expectancy (HALE) at birth (years),Published,2012,Europe,Lower-middle-income,Ukraine,Female,67,67.0,,,
2412,Healthy life expectancy (HALE) at birth (years),Published,2000,Americas,Upper-middle-income,Uruguay,Male,63,63.0,,,
2413,Healthy life expectancy (HALE) at birth (years),Published,2000,Americas,High-income,United States of America,Female,70,70.0,,,
2414,Healthy life expectancy (HALE) at birth (years),Published,2000,Americas,High-income,United States of America,Both sexes,68,68.0,,,
2415,Healthy life expectancy (HALE) at birth (years),Published,2012,Americas,High-income,United States of America,Male,68,68.0,,,
2416,Healthy life expectancy (HALE) at birth (years),Published,2012,Europe,Low-income,Uzbekistan,Female,62,62.0,,,
2417,Healthy life expectancy (HALE) at birth (years),Published,2000,Americas,Upper-middle-income,Venezuela (Bolivarian Republic of),Female,67,67.0,,,
2418,Healthy life expectancy (HALE) at birth (years),Published,2000,Americas,Upper-middle-income,Venezuela (Bolivarian Republic of),Both sexes,65,65.0,,,
2419,Healthy life expectancy (HALE) at birth (years),Published,2012,Americas,Upper-middle-income,Venezuela (Bolivarian Republic of),Male,63,63.0,,,
2420,Healthy life expectancy (HALE) at birth (years),Published,2012,Western Pacific,Low-income,Viet Nam,Both sexes,66,66.0,,,
2421,Healthy life expectancy (HALE) at birth (years),Published,2012,Western Pacific,Lower-middle-income,Vanuatu,Female,63,63.0,,,
2422,Healthy life expectancy (HALE) at birth (years),Published,2012,Western Pacific,Lower-middle-income,Vanuatu,Both sexes,62,62.0,,,
2423,Healthy life expectancy (HALE) at birth (years),Published,2000,Western Pacific,Lower-middle-income,Samoa,Female,64,64.0,,,
2424,Healthy life expectancy (HALE) at birth (years),Published,2012,Eastern Mediterranean,Low-income,Yemen,Female,55,55.0,,,
2425,Healthy life expectancy (HALE) at birth (years),Published,2012,Africa,Upper-middle-income,South Africa,Female,53,53.0,,,
2426,Healthy life expectancy (HALE) at birth (years),Published,2000,Africa,Low-income,Zimbabwe,Male,37,37.0,,,
2427,Life expectancy at birth (years),Published,2000,Western Pacific,Lower-middle-income,Solomon Islands,Both sexes,65,65.0,,,
2428,Life expectancy at age 60 (years),Published,2000,Western Pacific,Lower-middle-income,Solomon Islands,Female,17,17.0,,,
2429,Life expectancy at age 60 (years),Published,2000,Western Pacific,Lower-middle-income,Solomon Islands,Both sexes,16,16.0,,,
2430,Life expectancy at age 60 (years),Published,2012,Americas,Lower-middle-income,El Salvador,Male,20,20.0,,,
2431,Life expectancy at age 60 (years),Published,2012,Americas,Lower-middle-income,El Salvador,Female,23,23.0,,,
2432,Life expectancy at age 60 (years),Published,1990,Americas,Lower-middle-income,El Salvador,Both sexes,19,19.0,,,
2433,Life expectancy at birth (years),Published,2012,Africa,Lower-middle-income,Sao Tome and Principe,Male,65,65.0,,,
2434,Life expectancy at birth (years),Published,2000,Africa,Lower-middle-income,Swaziland,Male,48,48.0,,,
2435,Life expectancy at age 60 (years),Published,1990,Africa,Lower-middle-income,Swaziland,Male,16,16.0,,,
2436,Life expectancy at age 60 (years),Published,2000,Africa,Lower-middle-income,Swaziland,Male,16,16.0,,,
2437,Life expectancy at birth (years),Published,1990,Eastern Mediterranean,Lower-middle-income,Syrian Arab Republic,Both sexes,70,70.0,,,
2438,Life expectancy at age 60 (years),Published,1990,Eastern Mediterranean,Lower-middle-income,Syrian Arab Republic,Male,17,17.0,,,
2439,Life expectancy at age 60 (years),Published,2012,Eastern Mediterranean,Lower-middle-income,Syrian Arab Republic,Female,22,22.0,,,
2440,Life expectancy at age 60 (years),Published,2012,Eastern Mediterranean,Lower-middle-income,Syrian Arab Republic,Both sexes,19,19.0,,,
2441,Life expectancy at birth (years),Published,1990,South-East Asia,Lower-middle-income,Thailand,Both sexes,69,69.0,,,
2442,Life expectancy at birth (years),Published,2000,South-East Asia,Lower-middle-income,Thailand,Both sexes,70,70.0,,,
